                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9566,                 2.2214,                  1.558,                0.33333,                0.01427,                 0.1738,                0.12431,                 1.8402,                 1.6082,                  1.469,             0.00047565,             0.00047565,             0.00047565
                      2,                 1.8419,                 1.6619,                 1.4721,                0.33333,                0.03039,                0.18186,                0.13493,                 1.8623,                 1.5077,                 1.4577,             0.00085773,             0.00085773,             0.00085773
                      3,                 1.7966,                 1.5774,                  1.435,                0.33333,                 0.0046,                0.16896,                0.12765,                 1.7985,                 1.4448,                 1.4215,              0.0011455,              0.0011455,              0.0011455
                      4,                 1.7622,                 1.4951,                 1.4095,                0.33333,                0.00529,                0.16931,                 0.1325,                  1.744,                 1.4031,                 1.3777,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.6926,                 1.4023,                 1.3795,                0.33333,                0.00276,                0.16805,                0.14302,                 1.6822,                 1.2897,                 1.3509,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.6518,                 1.3509,                 1.3545,                0.33333,                0.00391,                0.16862,                0.14484,                 1.6443,                 1.2796,                 1.3237,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.6033,                 1.2712,                 1.3292,                0.33333,                 0.0023,                0.16781,                0.14105,                 1.6121,                 1.1984,                 1.3071,             0.00058017,             0.00058017,             0.00058017
                      8,                  1.563,                 1.2166,                 1.3064,                0.33333,                 0.0122,                0.17276,                0.13557,                 1.6269,                 1.1481,                 1.3079,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.5282,                 1.1572,                 1.2859,                0.66667,                0.01365,                0.34015,                0.28558,                 1.5496,                 1.0978,                 1.2813,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.4971,                 1.1237,                 1.2753,                      1,                0.00828,                0.50413,                0.46108,                 1.5213,                 1.0534,                 1.2623,             0.00015576,             0.00015576,             0.00015576
