                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2961,                 4.0072,                 1.8802,                      0,                      0,                      0,                      0,                 1.9996,                 3.8991,                 1.5796,             0.00024293,             0.00024293,             0.00024293
                      2,                 2.2371,                 3.5049,                 1.6831,                      0,                      0,                      0,                      0,                 1.9937,                   3.65,                 1.5632,             0.00045064,             0.00045064,             0.00045064
                      3,                 2.2263,                 2.9728,                 1.6911,                      0,                      0,                      0,                      0,                 1.9774,                 3.0717,                 1.5707,             0.00060741,             0.00060741,             0.00060741
                      4,                 1.9658,                 2.5131,                  1.568,                0.66667,                 0.0311,                0.34888,                0.20852,                 2.0136,                 2.5729,                  1.628,             0.00071326,             0.00071326,             0.00071326
                      5,                 1.9178,                 2.1923,                 1.4684,                0.40416,                0.10007,                0.25932,                0.14328,                 1.9582,                  2.287,                 1.5642,             0.00076817,             0.00076817,             0.00076817
                      6,                 1.8343,                 2.0412,                 1.4516,                0.53221,                0.27045,                0.40201,                0.18641,                 1.7971,                 2.3142,                 1.3646,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.7739,                 1.9351,                 1.4145,                0.51634,                0.21163,                0.36845,                0.18452,                 1.8083,                 2.3187,                 1.3444,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.7449,                 1.8615,                 1.4069,                0.60784,                0.20014,                 0.4136,                 0.1916,                 1.9737,                 2.3214,                 1.4398,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.7615,                 1.8357,                 1.4335,                0.60417,                0.18864,                0.40221,                0.22553,                 1.9399,                 2.2068,                  1.434,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.7651,                 1.7347,                 1.3971,                0.66667,                0.17715,                 0.4219,                0.27109,                 1.7281,                 1.8993,                 1.3481,             0.00015576,             0.00015576,             0.00015576
